"trip_start_timestamp","trip_end_timestamp","time","trip_seconds","trip_miles","weather","wind","visibility"
"2016-11-19 03:30:00","2016-11-19 03:45:00","2016-11-19 03:53:00",360,1,"Drizzle Overcast",37,16
"2016-11-19 03:30:00","2016-11-19 03:45:00","2016-11-19 02:53:00",360,1,"Mostly cloudy",32,16
"2016-11-19 03:30:00","2016-11-19 03:45:00","2016-11-19 02:53:00",360,1,"Mostly cloudy",32,16
"2016-11-17 16:00:00","2016-11-17 16:00:00","2016-11-17 15:53:00",360,0.65,"More clouds than sun",26,16
"2016-11-17 16:00:00","2016-11-17 16:00:00","2016-11-17 15:53:00",360,0.65,"More clouds than sun",26,16
"2016-11-17 16:00:00","2016-11-17 16:00:00","2016-11-17 16:53:00",360,0.65,"Overcast",20,16
"2016-11-17 16:00:00","2016-11-17 16:00:00","2016-11-17 16:53:00",360,0.65,"Overcast",20,16
"2016-11-19 19:45:00","2016-11-19 19:45:00","2016-11-19 18:53:00",360,1.2,"Passing clouds",20,16
"2016-11-19 19:45:00","2016-11-19 19:45:00","2016-11-19 18:53:00",360,1.2,"Passing clouds",20,16
"2016-11-19 19:45:00","2016-11-19 19:45:00","2016-11-19 19:53:00",360,1.2,"Clear",22,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 02:53:00",420,2.7,"Clear",15,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 02:53:00",420,2.7,"Clear",15,16
"2016-11-18 09:45:00","2016-11-18 10:00:00","2016-11-18 09:53:00",420,0.5,"Partly sunny",30,16
"2016-11-18 09:45:00","2016-11-18 10:00:00","2016-11-18 08:53:00",420,0.5,"Partly sunny",28,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 03:53:00",420,2.7,"Clear",13,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 03:53:00",420,2.7,"Clear",13,16
"2016-11-14 01:45:00","2016-11-14 01:45:00","2016-11-14 00:53:00",462,0.68,"Passing clouds",11,16
"2016-11-14 01:45:00","2016-11-14 01:45:00","2016-11-14 01:53:00",462,0.68,"Passing clouds",9,16
"2016-11-14 01:45:00","2016-11-14 01:45:00","2016-11-14 01:53:00",462,0.68,"Passing clouds",9,16
"2016-11-14 01:45:00","2016-11-14 01:45:00","2016-11-14 00:53:00",462,0.68,"Passing clouds",11,16
"2016-11-15 15:15:00","2016-11-15 15:15:00","2016-11-15 14:53:00",480,1.4,"Broken clouds",0,8
"2016-11-15 15:15:00","2016-11-15 15:15:00","2016-11-15 14:53:00",480,1.4,"Broken clouds",0,8
"2016-11-15 15:15:00","2016-11-15 15:15:00","2016-11-15 15:53:00",480,1.4,"Partly sunny",0,13
"2016-11-15 15:15:00","2016-11-15 15:15:00","2016-11-15 15:53:00",480,1.4,"Partly sunny",0,13
"2016-11-10 20:45:00","2016-11-10 21:00:00","2016-11-10 19:53:00",540,1.1,"Clear",22,16
"2016-11-26 22:45:00","2016-11-26 22:45:00","2016-11-26 22:53:00",540,5,"Passing clouds",15,16
"2016-11-26 22:45:00","2016-11-26 22:45:00","2016-11-26 21:53:00",540,5,"Clear",19,16
"2016-11-26 22:45:00","2016-11-26 22:45:00","2016-11-26 21:53:00",540,5,"Clear",19,16
"2016-11-26 07:30:00","2016-11-26 07:45:00","2016-11-26 07:53:00",540,2.7,"Partly sunny",9,16
"2016-11-26 07:30:00","2016-11-26 07:45:00","2016-11-26 07:53:00",540,2.7,"Partly sunny",9,16
"2016-11-24 12:30:00","2016-11-24 12:30:00","2016-11-24 12:53:00",540,4.4,"Overcast",17,16
"2016-11-24 12:30:00","2016-11-24 12:30:00","2016-11-24 12:53:00",540,4.4,"Overcast",17,16
"2016-11-10 20:45:00","2016-11-10 21:00:00","2016-11-10 20:53:00",540,1.1,"Clear",19,16
"2016-11-26 22:45:00","2016-11-26 22:45:00","2016-11-26 22:53:00",540,5,"Passing clouds",15,16
"2016-11-24 12:30:00","2016-11-24 12:30:00","2016-11-24 11:53:00",540,4.4,"Overcast",13,16
"2016-11-24 12:30:00","2016-11-24 12:30:00","2016-11-24 11:53:00",540,4.4,"Overcast",13,16
"2016-11-26 07:30:00","2016-11-26 07:45:00","2016-11-26 06:53:00",540,2.7,"Overcast",7,16
"2016-11-26 07:30:00","2016-11-26 07:45:00","2016-11-26 06:53:00",540,2.7,"Overcast",7,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 03:53:00",558,2.28,"Clear",13,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 02:53:00",558,2.28,"Clear",15,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 02:53:00",558,2.28,"Clear",15,16
"2016-11-13 03:15:00","2016-11-13 03:15:00","2016-11-13 03:53:00",558,2.28,"Clear",13,16
"2016-11-26 22:15:00","2016-11-26 22:30:00","2016-11-26 22:53:00",600,5,"Passing clouds",15,16
